date,LONG_FIZ,SHORT_FIZ,OI_FIZ,NET_FIZ,LONG_YUR,SHORT_YUR,OI_YUR,NET_YUR,OI_TOTAL,DELTA_OI,DELTA_NET_YUR,DELTA_NET_FIZ
2022-09-01,4927,4563,9490,364,12256,12620,24876,-364,17183.0,,,
2022-09-02,4704,4529,9233,175,10915,11090,22005,-175,15619.0,-1564.0,189.0,-189.0
2022-09-05,4575,4346,8921,229,9833,10062,19895,-229,14408.0,-1211.0,-54.0,54.0
2022-09-06,4457,4097,8554,360,8588,8948,17536,-360,13045.0,-1363.0,-131.0,131.0
2022-09-07,4457,5019,9476,-562,9130,8568,17698,562,13587.0,542.0,922.0,-922.0
2022-09-08,4459,4785,9244,-326,10106,9780,19886,326,14565.0,978.0,-236.0,236.0
2022-09-09,4693,5058,9751,-365,9183,8818,18001,365,13876.0,-689.0,39.0,-39.0
2022-09-12,4800,4794,9594,6,8913,8919,17832,-6,13713.0,-163.0,-371.0,371.0
2022-09-13,4801,5176,9977,-375,8479,8104,16583,375,13280.0,-433.0,381.0,-381.0
2022-09-14,4594,5377,9971,-783,7952,7169,15121,783,12546.0,-734.0,408.0,-408.0
2022-09-15,3357,3043,6400,314,4075,4389,8464,-314,7432.0,-5114.0,-1097.0,1097.0
2022-09-16,3761,3782,7543,-21,5117,5096,10213,21,8878.0,1446.0,335.0,-335.0
2022-09-19,3699,4107,7806,-408,6107,5699,11806,408,9806.0,928.0,387.0,-387.0
2022-09-20,4272,4448,8720,-176,5587,5411,10998,176,9859.0,53.0,-232.0,232.0
2022-09-21,4782,4191,8973,591,4647,5238,9885,-591,9429.0,-430.0,-767.0,767.0
2022-09-22,4378,3482,7860,896,4479,5375,9854,-896,8857.0,-572.0,-305.0,305.0
2022-09-23,5359,3195,8554,2164,4189,6353,10542,-2164,9548.0,691.0,-1268.0,1268.0
2022-09-26,6474,4454,10928,2020,3276,5296,8572,-2020,9750.0,202.0,144.0,-144.0
2022-09-27,6806,5548,12354,1258,3503,4761,8264,-1258,10309.0,559.0,762.0,-762.0
2022-09-28,6406,6044,12450,362,6300,6662,12962,-362,12706.0,2397.0,896.0,-896.0
2022-09-29,6159,7250,13409,-1091,9984,8893,18877,1091,16143.0,3437.0,1453.0,-1453.0
2022-09-30,6464,7881,14345,-1417,10056,8639,18695,1417,16520.0,377.0,326.0,-326.0
2022-10-03,7333,12549,19882,-5216,11700,6484,18184,5216,19033.0,2513.0,3799.0,-3799.0
2022-10-04,7396,13580,20976,-6184,12814,6630,19444,6184,20210.0,1177.0,968.0,-968.0
2022-10-05,6806,16475,23281,-9669,13369,3700,17069,9669,20175.0,-35.0,3485.0,-3485.0
2022-10-06,6896,17186,24082,-10290,14085,3795,17880,10290,20981.0,806.0,621.0,-621.0
2022-10-07,7043,17352,24395,-10309,14544,4235,18779,10309,21587.0,606.0,19.0,-19.0
2022-10-10,7098,21354,28452,-14256,19756,5500,25256,14256,26854.0,5267.0,3947.0,-3947.0
2022-10-11,6735,23101,29836,-16366,22670,6304,28974,16366,29405.0,2551.0,2110.0,-2110.0
2022-10-12,6145,24100,30245,-17955,25090,7135,32225,17955,31235.0,1830.0,1589.0,-1589.0
2022-10-13,6079,24606,30685,-18527,25884,7357,33241,18527,31963.0,728.0,572.0,-572.0
2022-10-14,6599,24907,31506,-18308,26148,7840,33988,18308,32747.0,784.0,-219.0,219.0
2022-10-17,7552,24977,32529,-17425,26297,8872,35169,17425,33849.0,1102.0,-883.0,883.0
2022-10-18,7730,23730,31460,-16000,24932,8932,33864,16000,32662.0,-1187.0,-1425.0,1425.0
2022-10-19,7703,23912,31615,-16209,22630,6421,29051,16209,30333.0,-2329.0,209.0,-209.0
2022-10-20,7610,23794,31404,-16184,22607,6423,29030,16184,30217.0,-116.0,-25.0,25.0
2022-10-21,7257,23842,31099,-16585,22987,6402,29389,16585,30244.0,27.0,401.0,-401.0
2022-10-24,8013,21742,29755,-13729,20973,7244,28217,13729,28986.0,-1258.0,-2856.0,2856.0
2022-10-25,8521,20328,28849,-11807,18893,7086,25979,11807,27414.0,-1572.0,-1922.0,1922.0
2022-10-26,8746,17414,26160,-8668,16844,8176,25020,8668,25590.0,-1824.0,-3139.0,3139.0
2022-10-27,8852,17414,26266,-8562,17033,8471,25504,8562,25885.0,295.0,-106.0,106.0
2022-10-28,7697,17242,24939,-9545,16473,6928,23401,9545,24170.0,-1715.0,983.0,-983.0
2022-10-31,7314,16918,24232,-9604,16778,7174,23952,9604,24092.0,-78.0,59.0,-59.0
2022-11-01,7181,17367,24548,-10186,17882,7696,25578,10186,25063.0,971.0,582.0,-582.0
2022-11-02,7403,18488,25891,-11085,18863,7778,26641,11085,26266.0,1203.0,899.0,-899.0
2022-11-03,6523,16039,22562,-9516,17678,8162,25840,9516,24201.0,-2065.0,-1569.0,1569.0
2022-11-07,6288,15808,22096,-9520,16335,6815,23150,9520,22623.0,-1578.0,4.0,-4.0
2022-11-08,6163,15077,21240,-8914,15884,6970,22854,8914,22047.0,-576.0,-606.0,606.0
2022-11-09,6188,15209,21397,-9021,16065,7044,23109,9021,22253.0,206.0,107.0,-107.0
2022-11-10,6384,14900,21284,-8516,16433,7917,24350,8516,22817.0,564.0,-505.0,505.0
2022-11-11,6167,16034,22201,-9867,17538,7671,25209,9867,23705.0,888.0,1351.0,-1351.0
2022-11-14,6491,16635,23126,-10144,18079,7935,26014,10144,24570.0,865.0,277.0,-277.0
2022-11-15,5968,16342,22310,-10374,18522,8148,26670,10374,24490.0,-80.0,230.0,-230.0
2022-11-16,6412,17184,23596,-10772,18181,7409,25590,10772,24593.0,103.0,398.0,-398.0
2022-11-17,5978,16333,22311,-10355,18211,7856,26067,10355,24189.0,-404.0,-417.0,417.0
2022-11-18,5877,16259,22136,-10382,18500,8118,26618,10382,24377.0,188.0,27.0,-27.0
2022-11-21,6126,18014,24140,-11888,19460,7572,27032,11888,25586.0,1209.0,1506.0,-1506.0
2022-11-22,6247,19045,25292,-12798,20490,7692,28182,12798,26737.0,1151.0,910.0,-910.0
2022-11-23,6252,19568,25820,-13316,20613,7297,27910,13316,26865.0,128.0,518.0,-518.0
2022-11-24,6105,19729,25834,-13624,21019,7395,28414,13624,27124.0,259.0,308.0,-308.0
2022-11-25,5622,19184,24806,-13562,21180,7618,28798,13562,26802.0,-322.0,-62.0,62.0
2022-11-28,6062,18578,24640,-12516,19997,7481,27478,12516,26059.0,-743.0,-1046.0,1046.0
2022-11-29,6207,18471,24678,-12264,19911,7647,27558,12264,26118.0,59.0,-252.0,252.0
2022-11-30,6067,18289,24356,-12222,20181,7959,28140,12222,26248.0,130.0,-42.0,42.0
2022-12-01,6337,18812,25149,-12475,20328,7853,28181,12475,26665.0,417.0,253.0,-253.0
2022-12-02,6350,18121,24471,-11771,20062,8291,28353,11771,26412.0,-253.0,-704.0,704.0
2022-12-05,7281,19019,26300,-11738,20219,8481,28700,11738,27500.0,1088.0,-33.0,33.0
2022-12-06,7648,17733,25381,-10085,19319,9234,28553,10085,26967.0,-533.0,-1653.0,1653.0
2022-12-07,7188,16143,23331,-8955,17426,8471,25897,8955,24614.0,-2353.0,-1130.0,1130.0
2022-12-08,7088,15533,22621,-8445,16912,8467,25379,8445,24000.0,-614.0,-510.0,510.0
2022-12-09,7317,15089,22406,-7772,16012,8240,24252,7772,23329.0,-671.0,-673.0,673.0
2022-12-12,7365,13807,21172,-6442,14483,8041,22524,6442,21848.0,-1481.0,-1330.0,1330.0
2022-12-13,7193,12719,19912,-5526,13265,7739,21004,5526,20458.0,-1390.0,-916.0,916.0
2022-12-14,8319,11439,19758,-3120,10689,7569,18258,3120,19008.0,-1450.0,-2406.0,2406.0
2022-12-15,4431,6758,11189,-2327,4784,2457,7241,2327,9215.0,-9793.0,-793.0,793.0
2022-12-16,5023,8210,13233,-3187,4814,1627,6441,3187,9837.0,622.0,860.0,-860.0
2022-12-19,5374,10150,15524,-4776,10372,5596,15968,4776,15746.0,5909.0,1589.0,-1589.0
2022-12-20,7214,11066,18280,-3852,13938,10086,24024,3852,21152.0,5406.0,-924.0,924.0
2022-12-21,7149,10855,18004,-3706,13815,10109,23924,3706,20964.0,-188.0,-146.0,146.0
2022-12-22,7004,11316,18320,-4312,14249,9937,24186,4312,21253.0,289.0,606.0,-606.0
2022-12-23,6856,10852,17708,-3996,13127,9131,22258,3996,19983.0,-1270.0,-316.0,316.0
2022-12-26,6786,10066,16852,-3280,12139,8859,20998,3280,18925.0,-1058.0,-716.0,716.0
2022-12-27,6766,10862,17628,-4096,15569,11473,27042,4096,22335.0,3410.0,816.0,-816.0
2022-12-28,6801,10417,17218,-3616,20044,16428,36472,3616,26845.0,4510.0,-480.0,480.0
2022-12-29,6131,10443,16574,-4312,22298,17986,40284,4312,28429.0,1584.0,696.0,-696.0
2022-12-30,5542,11004,16546,-5462,20425,14963,35388,5462,25967.0,-2462.0,1150.0,-1150.0
2023-01-03,6092,11721,17813,-5629,21054,15425,36479,5629,27146.0,1179.0,167.0,-167.0
2023-01-04,5756,11791,17547,-6035,21310,15275,36585,6035,27066.0,-80.0,406.0,-406.0
2023-01-05,5670,11535,17205,-5865,21172,15307,36479,5865,26842.0,-224.0,-170.0,170.0
2023-01-06,5870,11268,17138,-5398,21051,15653,36704,5398,26921.0,79.0,-467.0,467.0
2023-01-09,6407,10898,17305,-4491,20388,15897,36285,4491,26795.0,-126.0,-907.0,907.0
2023-01-10,6634,10830,17464,-4196,19481,15285,34766,4196,26115.0,-680.0,-295.0,295.0
2023-01-11,6446,10241,16687,-3795,19607,15812,35419,3795,26053.0,-62.0,-401.0,401.0
2023-01-12,7184,9615,16799,-2431,16587,14156,30743,2431,23771.0,-2282.0,-1364.0,1364.0
2023-01-13,6262,10424,16686,-4162,16591,12429,29020,4162,22853.0,-918.0,1731.0,-1731.0
2023-01-16,6186,10878,17064,-4692,17380,12688,30068,4692,23566.0,713.0,530.0,-530.0
2023-01-17,5843,10569,16412,-4726,16885,12159,29044,4726,22728.0,-838.0,34.0,-34.0
2023-01-18,5748,10236,15984,-4488,17364,12876,30240,4488,23112.0,384.0,-238.0,238.0
2023-01-19,5713,11525,17238,-5812,18860,13048,31908,5812,24573.0,1461.0,1324.0,-1324.0
2023-01-20,5406,11328,16734,-5922,18890,12968,31858,5922,24296.0,-277.0,110.0,-110.0
2023-01-23,5530,11854,17384,-6324,19504,13180,32684,6324,25034.0,738.0,402.0,-402.0
2023-01-24,5975,12196,18171,-6221,19478,13257,32735,6221,25453.0,419.0,-103.0,103.0
2023-01-25,6009,12311,18320,-6302,17191,10889,28080,6302,23200.0,-2253.0,81.0,-81.0
2023-01-26,5873,12440,18313,-6567,17179,10612,27791,6567,23052.0,-148.0,265.0,-265.0
2023-01-27,5883,12493,18376,-6610,17398,10788,28186,6610,23281.0,229.0,43.0,-43.0
2023-01-30,6161,12833,18994,-6672,17610,10938,28548,6672,23771.0,490.0,62.0,-62.0
2023-01-31,6323,14320,20643,-7997,18925,10928,29853,7997,25248.0,1477.0,1325.0,-1325.0
2023-02-01,6347,14145,20492,-7798,19428,11630,31058,7798,25775.0,527.0,-199.0,199.0
2023-02-02,6766,13549,20315,-6783,18181,11398,29579,6783,24947.0,-828.0,-1015.0,1015.0
2023-02-03,6084,13274,19358,-7190,17794,10604,28398,7190,23878.0,-1069.0,407.0,-407.0
2023-02-06,6266,13912,20178,-7646,17715,10069,27784,7646,23981.0,103.0,456.0,-456.0
2023-02-07,7164,13819,20983,-6655,17085,10430,27515,6655,24249.0,268.0,-991.0,991.0
2023-02-08,7268,13526,20794,-6258,17386,11128,28514,6258,24654.0,405.0,-397.0,397.0
2023-02-09,7072,12106,19178,-5034,16825,11791,28616,5034,23897.0,-757.0,-1224.0,1224.0
2023-02-10,6954,12450,19404,-5496,17786,12290,30076,5496,24740.0,843.0,462.0,-462.0
2023-02-13,6509,12549,19058,-6040,20277,14237,34514,6040,26786.0,2046.0,544.0,-544.0
2023-02-14,6239,10842,17081,-4603,23709,19106,42815,4603,29948.0,3162.0,-1437.0,1437.0
2023-02-15,7436,10638,18074,-3202,25252,22050,47302,3202,32688.0,2740.0,-1401.0,1401.0
2023-02-16,7881,10695,18576,-2814,25083,22269,47352,2814,32964.0,276.0,-388.0,388.0
2023-02-17,6966,10865,17831,-3899,24474,20575,45049,3899,31440.0,-1524.0,1085.0,-1085.0
2023-02-20,7207,10611,17818,-3404,23791,20387,44178,3404,30998.0,-442.0,-495.0,495.0
2023-02-21,7032,10937,17969,-3905,23940,20035,43975,3905,30972.0,-26.0,501.0,-501.0
2023-02-22,6822,8945,15767,-2123,23778,21655,45433,2123,30600.0,-372.0,-1782.0,1782.0
2023-02-24,6509,8950,15459,-2441,23755,21314,45069,2441,30264.0,-336.0,318.0,-318.0
2023-02-27,7321,9043,16364,-1722,22074,20352,42426,1722,29395.0,-869.0,-719.0,719.0
2023-02-28,7381,8961,16342,-1580,22093,20513,42606,1580,29474.0,79.0,-142.0,142.0
2023-03-01,6268,9522,15790,-3254,22319,19065,41384,3254,28587.0,-887.0,1674.0,-1674.0
2023-03-02,6563,8860,15423,-2297,22566,20269,42835,2297,29129.0,542.0,-957.0,957.0
2023-03-03,6175,8891,15066,-2716,22708,19992,42700,2716,28883.0,-246.0,419.0,-419.0
2023-03-06,6300,9190,15490,-2890,24332,21442,45774,2890,30632.0,1749.0,174.0,-174.0
2023-03-07,6689,8958,15647,-2269,24948,22679,47627,2269,31637.0,1005.0,-621.0,621.0
2023-03-09,7220,9874,17094,-2654,24515,21861,46376,2654,31735.0,98.0,385.0,-385.0
2023-03-10,6844,9764,16608,-2920,25023,22103,47126,2920,31867.0,132.0,266.0,-266.0
2023-03-13,6966,8599,15565,-1633,27210,25577,52787,1633,34176.0,2309.0,-1287.0,1287.0
2023-03-14,7423,9213,16636,-1790,27510,25720,53230,1790,34933.0,757.0,157.0,-157.0
2023-03-15,6869,9778,16647,-2909,27759,24850,52609,2909,34628.0,-305.0,1119.0,-1119.0
2023-03-16,5392,7223,12615,-1831,8200,6369,14569,1831,13592.0,-21036.0,-1078.0,1078.0
2023-03-17,7041,9162,16203,-2121,9602,7481,17083,2121,16643.0,3051.0,290.0,-290.0
2023-03-20,8018,10052,18070,-2034,7344,5310,12654,2034,15362.0,-1281.0,-87.0,87.0
2023-03-21,8667,10296,18963,-1629,7229,5600,12829,1629,15896.0,534.0,-405.0,405.0
2023-03-22,8870,10496,19366,-1626,6969,5343,12312,1626,15839.0,-57.0,-3.0,3.0
2023-03-23,8495,9852,18347,-1357,7595,6238,13833,1357,16090.0,251.0,-269.0,269.0
2023-03-24,8386,9355,17741,-969,7607,6638,14245,969,15993.0,-97.0,-388.0,388.0
2023-03-27,9202,11068,20270,-1866,9219,7353,16572,1866,18421.0,2428.0,897.0,-897.0
2023-03-28,9459,10824,20283,-1365,9190,7825,17015,1365,18649.0,228.0,-501.0,501.0
2023-03-29,9148,11952,21100,-2804,11600,8796,20396,2804,20748.0,2099.0,1439.0,-1439.0
2023-03-30,8999,12344,21343,-3345,12829,9484,22313,3345,21828.0,1080.0,541.0,-541.0
2023-03-31,6913,10880,17793,-3967,13148,9181,22329,3967,20061.0,-1767.0,622.0,-622.0
2023-04-03,7672,11846,19518,-4174,15282,11108,26390,4174,22954.0,2893.0,207.0,-207.0
2023-04-04,7899,13902,21801,-6003,16177,10174,26351,6003,24076.0,1122.0,1829.0,-1829.0
2023-04-05,7777,14415,22192,-6638,18269,11631,29900,6638,26046.0,1970.0,635.0,-635.0
2023-04-06,7041,16640,23681,-9599,20895,11296,32191,9599,27936.0,1890.0,2961.0,-2961.0
2023-04-07,6628,16741,23369,-10113,21567,11454,33021,10113,28195.0,259.0,514.0,-514.0
2023-04-10,7591,16987,24578,-9396,19709,10313,30022,9396,27300.0,-895.0,-717.0,717.0
2023-04-11,8330,16874,25204,-8544,18604,10060,28664,8544,26934.0,-366.0,-852.0,852.0
2023-04-12,8225,17002,25227,-8777,18573,9796,28369,8777,26798.0,-136.0,233.0,-233.0
2023-04-13,7836,17758,25594,-9922,19433,9511,28944,9922,27269.0,471.0,1145.0,-1145.0
2023-04-14,8142,17755,25897,-9613,19356,9743,29099,9613,27498.0,229.0,-309.0,309.0
2023-04-17,8059,17501,25560,-9442,21968,12526,34494,9442,30027.0,2529.0,-171.0,171.0
2023-04-18,8353,17500,25853,-9147,25762,16615,42377,9147,34115.0,4088.0,-295.0,295.0
2023-04-19,8368,17528,25896,-9160,27732,18572,46304,9160,36100.0,1985.0,13.0,-13.0
2023-04-20,9355,16165,25520,-6810,28177,21367,49544,6810,37532.0,1432.0,-2350.0,2350.0
2023-04-21,9687,16618,26305,-6931,29882,22951,52833,6931,39569.0,2037.0,121.0,-121.0
2023-04-24,9777,16680,26457,-6903,30116,23213,53329,6903,39893.0,324.0,-28.0,28.0
2023-04-25,9080,16626,25706,-7546,31240,23694,54934,7546,40320.0,427.0,643.0,-643.0
2023-04-26,8727,17632,26359,-8905,32416,23511,55927,8905,41143.0,823.0,1359.0,-1359.0
2023-04-27,8802,18269,27071,-9467,33449,23982,57431,9467,42251.0,1108.0,562.0,-562.0
2023-04-28,7784,18402,26186,-10618,34594,23976,58570,10618,42378.0,127.0,1151.0,-1151.0
2023-05-02,8046,18454,26500,-10408,34167,23759,57926,10408,42213.0,-165.0,-210.0,210.0
2023-05-03,7899,19659,27558,-11760,35535,23775,59310,11760,43434.0,1221.0,1352.0,-1352.0
2023-05-04,8108,18458,26566,-10350,34858,24508,59366,10350,42966.0,-468.0,-1410.0,1410.0
2023-05-05,7782,17275,25057,-9493,33452,23959,57411,9493,41234.0,-1732.0,-857.0,857.0
2023-05-08,8441,19246,27687,-10805,34649,23844,58493,10805,43090.0,1856.0,1312.0,-1312.0
2023-05-10,7886,16816,24702,-8930,32949,24019,56968,8930,40835.0,-2255.0,-1875.0,1875.0
2023-05-11,8993,19957,28950,-10964,36066,25102,61168,10964,45059.0,4224.0,2034.0,-2034.0
2023-05-12,8606,18938,27544,-10332,37164,26832,63996,10332,45770.0,711.0,-632.0,632.0
2023-05-15,8914,19522,28436,-10608,38818,28210,67028,10608,47732.0,1962.0,276.0,-276.0
2023-05-16,7852,20566,28418,-12714,40776,28062,68838,12714,48628.0,896.0,2106.0,-2106.0
2023-05-17,7552,20476,28028,-12924,42723,29799,72522,12924,50275.0,1647.0,210.0,-210.0
2023-05-18,7180,19620,26800,-12440,44266,31826,76092,12440,51446.0,1171.0,-484.0,484.0
2023-05-19,6615,19607,26222,-12992,44441,31449,75890,12992,51056.0,-390.0,552.0,-552.0
2023-05-22,6300,19571,25871,-13271,45234,31963,77197,13271,51534.0,478.0,279.0,-279.0
2023-05-23,7039,19755,26794,-12716,41931,29215,71146,12716,48970.0,-2564.0,-555.0,555.0
2023-05-24,8268,19538,27806,-11270,40770,29500,70270,11270,49038.0,68.0,-1446.0,1446.0
2023-05-25,8326,18809,27135,-10483,41434,30951,72385,10483,49760.0,722.0,-787.0,787.0
2023-05-26,9168,21233,30401,-12065,41899,29834,71733,12065,51067.0,1307.0,1582.0,-1582.0
2023-05-29,9688,22977,32665,-13289,42318,29029,71347,13289,52006.0,939.0,1224.0,-1224.0
2023-05-30,9103,22949,32052,-13846,42501,28655,71156,13846,51604.0,-402.0,557.0,-557.0
2023-05-31,9591,22678,32269,-13087,42683,29596,72279,13087,52274.0,670.0,-759.0,759.0
2023-06-01,10267,23438,33705,-13171,42909,29738,72647,13171,53176.0,902.0,84.0,-84.0
2023-06-02,10701,23728,34429,-13027,43357,30330,73687,13027,54058.0,882.0,-144.0,144.0
2023-06-05,10334,24679,35013,-14345,42896,28551,71447,14345,53230.0,-828.0,1318.0,-1318.0
2023-06-06,9331,22300,31631,-12969,43411,30442,73853,12969,52742.0,-488.0,-1376.0,1376.0
2023-06-07,9858,23502,33360,-13644,44815,31171,75986,13644,54673.0,1931.0,675.0,-675.0
2023-06-08,10256,24630,34886,-14374,45401,31027,76428,14374,55657.0,984.0,730.0,-730.0
2023-06-09,10486,26354,36840,-15868,47879,32011,79890,15868,58365.0,2708.0,1494.0,-1494.0
2023-06-13,11262,27842,39104,-16580,50960,34380,85340,16580,62222.0,3857.0,712.0,-712.0
2023-06-14,10420,29216,39636,-18796,56322,37526,93848,18796,66742.0,4520.0,2216.0,-2216.0
2023-06-15,5444,25523,30967,-20079,38581,18502,57083,20079,44025.0,-22717.0,1283.0,-1283.0
2023-06-16,6620,31019,37639,-24399,44607,20208,64815,24399,51227.0,7202.0,4320.0,-4320.0
2023-06-19,8855,35686,44541,-26831,46000,19169,65169,26831,54855.0,3628.0,2432.0,-2432.0
2023-06-20,7709,37985,45694,-30276,48793,18517,67310,30276,56502.0,1647.0,3445.0,-3445.0
2023-06-21,8601,38985,47586,-30384,50137,19753,69890,30384,58738.0,2236.0,108.0,-108.0
2023-06-22,7973,40145,48118,-32172,52492,20320,72812,32172,60465.0,1727.0,1788.0,-1788.0
2023-06-23,7404,39169,46573,-31765,49564,17799,67363,31765,56968.0,-3497.0,-407.0,407.0
2023-06-26,8905,32896,41801,-23991,49627,25636,75263,23991,58532.0,1564.0,-7774.0,7774.0
2023-06-27,9145,35926,45071,-26781,53335,26554,79889,26781,62480.0,3948.0,2790.0,-2790.0
2023-06-28,8207,38341,46548,-30134,55092,24958,80050,30134,63299.0,819.0,3353.0,-3353.0
2023-06-29,9233,40329,49562,-31096,54205,23109,77314,31096,63438.0,139.0,962.0,-962.0
2023-06-30,9656,49069,58725,-39413,59595,20182,79777,39413,69251.0,5813.0,8317.0,-8317.0
2023-07-03,9586,52724,62310,-43138,62629,19491,82120,43138,72215.0,2964.0,3725.0,-3725.0
2023-07-04,9720,55571,65291,-45851,65121,19270,84391,45851,74841.0,2626.0,2713.0,-2713.0
2023-07-05,9528,59757,69285,-50229,69504,19275,88779,50229,79032.0,4191.0,4378.0,-4378.0
2023-07-06,10413,60936,71349,-50523,69960,19437,89397,50523,80373.0,1341.0,294.0,-294.0
2023-07-07,11005,61631,72636,-50626,70008,19382,89390,50626,81013.0,640.0,103.0,-103.0
2023-07-10,11241,62603,73844,-51362,70071,18709,88780,51362,81312.0,299.0,736.0,-736.0
2023-07-11,11491,62954,74445,-51463,69315,17852,87167,51463,80806.0,-506.0,101.0,-101.0
2023-07-12,11783,66046,77829,-54263,69182,14919,84101,54263,80965.0,159.0,2800.0,-2800.0
2023-07-13,12277,62493,74770,-50216,64025,13809,77834,50216,76302.0,-4663.0,-4047.0,4047.0
2023-07-14,12632,62057,74689,-49425,62563,13138,75701,49425,75195.0,-1107.0,-791.0,791.0
2023-07-17,13247,61965,75212,-48718,60921,12203,73124,48718,74168.0,-1027.0,-707.0,707.0
2023-07-18,12827,59837,72664,-47010,58696,11686,70382,47010,71523.0,-2645.0,-1708.0,1708.0
2023-07-19,12737,59191,71928,-46454,57299,10845,68144,46454,70036.0,-1487.0,-556.0,556.0
2023-07-20,13433,60957,74390,-47524,57021,9497,66518,47524,70454.0,418.0,1070.0,-1070.0
2023-07-21,13862,60863,74725,-47001,55510,8509,64019,47001,69372.0,-1082.0,-523.0,523.0
2023-07-24,14223,60302,74525,-46079,54655,8576,63231,46079,68878.0,-494.0,-922.0,922.0
2023-07-25,13724,60074,73798,-46350,56003,9653,65656,46350,69727.0,849.0,271.0,-271.0
2023-07-26,14436,59577,74013,-45141,55646,10505,66151,45141,70082.0,355.0,-1209.0,1209.0
2023-07-27,14229,57523,71752,-43294,55505,12211,67716,43294,69734.0,-348.0,-1847.0,1847.0
2023-07-28,13928,56659,70587,-42731,54058,11327,65385,42731,67986.0,-1748.0,-563.0,563.0
2023-07-31,14800,53324,68124,-38524,51072,12548,63620,38524,65872.0,-2114.0,-4207.0,4207.0
2023-08-01,16305,50585,66890,-34280,48633,14353,62986,34280,64938.0,-934.0,-4244.0,4244.0
2023-08-02,15741,49858,65599,-34117,45549,11432,56981,34117,61290.0,-3648.0,-163.0,163.0
2023-08-03,15673,51467,67140,-35794,46925,11131,58056,35794,62598.0,1308.0,1677.0,-1677.0
2023-08-04,15666,53362,69028,-37696,47712,10016,57728,37696,63378.0,780.0,1902.0,-1902.0
2023-08-07,14531,56818,71349,-42287,52682,10395,63077,42287,67213.0,3835.0,4591.0,-4591.0
2023-08-08,14705,58512,73217,-43807,53567,9760,63327,43807,68272.0,1059.0,1520.0,-1520.0
2023-08-09,15046,60427,75473,-45381,55151,9770,64921,45381,70197.0,1925.0,1574.0,-1574.0
2023-08-10,16311,57002,73313,-40691,50420,9729,60149,40691,66731.0,-3466.0,-4690.0,4690.0
2023-08-11,16024,57036,73060,-41012,50850,9838,60688,41012,66874.0,143.0,321.0,-321.0
2023-08-14,13877,55330,69207,-41453,49950,8497,58447,41453,63827.0,-3047.0,441.0,-441.0
2023-08-15,13391,55746,69137,-42355,52624,10269,62893,42355,66015.0,2188.0,902.0,-902.0
2023-08-16,15188,52165,67353,-36977,48134,11157,59291,36977,63322.0,-2693.0,-5378.0,5378.0
2023-08-17,15538,52896,68434,-37358,48622,11264,59886,37358,64160.0,838.0,381.0,-381.0
2023-08-18,15174,52269,67443,-37095,48443,11348,59791,37095,63617.0,-543.0,-263.0,263.0
2023-08-21,16188,51407,67595,-35219,46906,11687,58593,35219,63094.0,-523.0,-1876.0,1876.0
2023-08-22,16652,53476,70128,-36824,49657,12833,62490,36824,66309.0,3215.0,1605.0,-1605.0
2023-08-23,16745,55082,71827,-38337,53877,15540,69417,38337,70622.0,4313.0,1513.0,-1513.0
2023-08-24,17844,56993,74837,-39149,55522,16373,71895,39149,73366.0,2744.0,812.0,-812.0
2023-08-25,18963,57277,76240,-38314,54277,15963,70240,38314,73240.0,-126.0,-835.0,835.0
2023-08-28,19658,57086,76744,-37428,49740,12312,62052,37428,69398.0,-3842.0,-886.0,886.0
